TB_NUM,JUMBO,BREED,LACTATION,CALVING_DATE,DIM,WEEKOFYEAR,DATEOFSCORING,BCS0_5,BCS1_5,BODY_WEIGHT,MANUALBCS_FB,MANUALBCS_JK
IE151941640122,122,FR,2,04/02/2016,54,13,29/03/2016,,3.15,463,,
IE151941640122,122,FR,2,04/02/2016,61,14,05/04/2016,,3.06,463.5,,
IE141893671952,252,FR,3,13/02/2016,59,15,12/04/2016,,2.91,,2.75,2.75
IE371010021255,1255,FR,1,06/02/2016,45,12,22/03/2016,,3.38,448,,
IE371010021255,1255,FR,1,06/02/2016,52,13,29/03/2016,,3.18,444,,
IE151941630261,261,FR,1,26/02/2016,46,15,12/04/2016,,4.18,446,3.25,3.25
IE371010021255,1255,FR,1,06/02/2016,73,16,19/04/2016,,3.11,439,,
IE371010021255,1255,FR,1,06/02/2016,87,18,03/05/2016,,3.38,442,,
IE151941660264,264,FR,1,25/02/2016,47,15,12/04/2016,,3.5,,3,3
IE371010021255,1255,FR,1,06/02/2016,101,20,17/05/2016,,3.4,430,,
IE371010021255,1255,FR,1,06/02/2016,115,22,31/05/2016,,3.34,480,,
IE151941670265,265,FR,1,30/01/2016,73,15,12/04/2016,,3.72,,3,3.25
IE371010021255,1255,FR,1,06/02/2016,129,24,14/06/2016,,3.05,482,,
IE151941620269,269,FR,1,13/01/2016,90,15,12/04/2016,,3.75,443,2.75,3
IE151941690275,275,FR,1,16/02/2016,56,15,12/04/2016,,3.82,424,3.5,3.5
IE371010021255,1255,FR,1,06/02/2016,199,34,23/08/2016,,3.07,,,
IE371010021255,1255,FR,1,06/02/2016,206,35,30/08/2016,,3.14,454,,
IE371010021255,1255,FR,1,06/02/2016,213,36,06/09/2016,,3.15,487,,
IE371010021255,1255,FR,1,06/02/2016,234,39,27/09/2016,,3.06,384,,
IE371010021255,1255,FR,1,06/02/2016,241,40,04/10/2016,,3.04,,,
IE371010021255,1255,FR,1,06/02/2016,248,41,11/10/2016,,3.05,462,2.5,
IE371010021255,1255,FR,1,06/02/2016,255,42,18/10/2016,,3.02,506,,
IE371010021255,1255,FR,1,06/02/2016,262,43,25/10/2016,,3.01,503,,
IE371010021255,1255,FR,1,06/02/2016,269,44,01/11/2016,,3,516,2.5,
IE151941630278,278,FR,1,14/02/2016,58,15,12/04/2016,,3.59,454,3,3
IE371010021255,1255,FR,1,06/02/2016,290,47,22/11/2016,,3.13,522,,
IE371010051266,1266,FR,1,26/01/2016,63,13,29/03/2016,,3.58,438,,
IE371010051266,1266,FR,1,26/01/2016,70,14,05/04/2016,,3.53,449.5,,
IE151941690028,28,FR,2,29/01/2016,74,15,12/04/2016,,3.37,482,2.75,3
IE371010051266,1266,FR,1,26/01/2016,84,16,19/04/2016,,3.55,456,,
IE151941640295,295,FR,1,01/02/2016,71,15,12/04/2016,,3.99,432,3.25,3.25
IE371010051266,1266,FR,1,26/01/2016,126,22,31/05/2016,,3.54,478,,
IE151941680308,308,FR,1,23/02/2016,49,15,12/04/2016,,3.86,410,3,3
IE151941650131,131,FR,2,20/02/2016,24,11,15/03/2016,,3.38,479,,
IE151941650131,131,FR,2,20/02/2016,31,12,22/03/2016,,3.41,461,,
IE151941650131,131,FR,2,20/02/2016,38,13,29/03/2016,,3.32,462,,
IE151941650131,131,FR,2,20/02/2016,45,14,05/04/2016,,3.47,451,,
IE151620993086,3086,FR,4,16/02/2016,56,15,12/04/2016,,3.39,477,2.75,3
IE151941650131,131,FR,2,20/02/2016,59,16,19/04/2016,,3.53,470,,
IE151941650131,131,FR,2,20/02/2016,66,17,26/04/2016,,3.55,445,3,
IE151941650131,131,FR,2,20/02/2016,73,18,03/05/2016,,3.53,483,,
IE151941630311,311,FR,1,30/01/2016,73,15,12/04/2016,,3.75,474,3.25,3
IE151941650131,131,FR,2,20/02/2016,87,20,17/05/2016,,3.3,470,,
IE151941650131,131,FR,2,20/02/2016,94,21,24/05/2016,,3.34,,,
IE151941650131,131,FR,2,20/02/2016,101,22,31/05/2016,,3.39,,,
IE151941660330,330,FR,1,03/02/2016,69,15,12/04/2016,,3.44,432,2.75,3
IE151941610334,334,FR,1,28/02/2016,44,15,12/04/2016,,3.99,434,3.25,3.25
IE151941630344,344,FR,1,18/01/2016,85,15,12/04/2016,,3.75,416,3.25,3.25
IE151941650131,131,FR,2,20/02/2016,185,34,23/08/2016,,3.22,478,,
IE151941650131,131,FR,2,20/02/2016,192,35,30/08/2016,,3.16,489,,
IE151941650131,131,FR,2,20/02/2016,199,36,06/09/2016,,3.13,505,,
IE151941650131,131,FR,2,20/02/2016,220,39,27/09/2016,,3.34,478,,
IE151941650131,131,FR,2,20/02/2016,227,40,04/10/2016,,3.23,,,
IE151941650131,131,FR,2,20/02/2016,234,41,11/10/2016,,3.26,496.48,2.75,
IE151941650131,131,FR,2,20/02/2016,241,42,18/10/2016,,3.22,510,,
IE191574491390,1390,FR,4,17/02/2016,41,13,29/03/2016,,3.5,597,,
IE191574491390,1390,FR,4,17/02/2016,48,14,05/04/2016,,3.46,581,,
IE151620943503,3503,FR,2,23/02/2016,49,15,12/04/2016,,3.11,471,3,3
IE191574491390,1390,FR,4,17/02/2016,62,16,19/04/2016,,3.43,576,,
IE191574491390,1390,FR,4,17/02/2016,69,17,26/04/2016,,3.6,600,3.25,
IE191574491390,1390,FR,4,17/02/2016,76,18,03/05/2016,,3.38,600,,
IE151620933551,3551,FR,2,07/02/2016,65,15,12/04/2016,,3.2,439,2.75,2.75
IE191574491390,1390,FR,4,17/02/2016,90,20,17/05/2016,,3.54,589,,
IE191574491390,1390,FR,4,17/02/2016,97,21,24/05/2016,,3.63,,,
IE191574491390,1390,FR,4,17/02/2016,104,22,31/05/2016,,3.57,,,
IE151941670356,356,FR,1,11/02/2016,61,15,12/04/2016,,3.84,496,3,3.25
IE151620963579,3579,FR,2,17/02/2016,55,15,12/04/2016,,3.12,502,2.75,3
IE191574491390,1390,FR,4,17/02/2016,188,34,23/08/2016,,3.66,,,
IE191574491390,1390,FR,4,17/02/2016,195,35,30/08/2016,,3.62,615,,
IE191574491390,1390,FR,4,17/02/2016,202,36,06/09/2016,,3.55,605,,
IE191574491390,1390,FR,4,17/02/2016,223,39,27/09/2016,,3.61,630,,
IE191574491390,1390,FR,4,17/02/2016,230,40,04/10/2016,,3.59,,,
IE191574491390,1390,FR,4,17/02/2016,237,41,11/10/2016,,3.59,618,3,
IE191574491390,1390,FR,4,17/02/2016,244,42,18/10/2016,,3.67,658,,
IE191574491390,1390,FR,4,17/02/2016,251,43,25/10/2016,,3.57,678,,
IE191574491390,1390,FR,4,17/02/2016,258,44,01/11/2016,,3.62,677,3.25,
IE151620953586,3586,FR,2,28/01/2016,75,15,12/04/2016,,3.53,438,2.75,2.75
IE191574491390,1390,FR,4,17/02/2016,272,46,15/11/2016,,3.73,684,,
IE191574491390,1390,FR,4,17/02/2016,279,47,22/11/2016,,3.74,694,,
IE191574491390,1390,FR,4,17/02/2016,286,48,29/11/2016,,3.79,,,
IE191574491390,1390,FR,4,17/02/2016,293,49,06/12/2016,,3.7,680,3.5,
IE191574491390,1390,FR,4,17/02/2016,300,50,13/12/2016,,3.65,,,
IE221372341407,1407,FR,1,08/02/2016,43,12,22/03/2016,,3.39,,,
IE221372341407,1407,FR,1,08/02/2016,50,13,29/03/2016,,3.36,486,,
IE151620953594,3594,FR,2,14/02/2016,58,15,12/04/2016,,3.19,533,3,3
IE221372341407,1407,FR,1,08/02/2016,99,20,17/05/2016,,3.54,494,,
IE221372341407,1407,FR,1,08/02/2016,106,21,24/05/2016,,3.45,,,
IE221372341407,1407,FR,1,08/02/2016,113,22,31/05/2016,,3.52,,,
IE151620973605,3605,FR,2,13/02/2016,59,15,12/04/2016,,3.54,498,3,3
IE221372341407,1407,FR,1,08/02/2016,197,34,23/08/2016,,3.49,,,
IE221372341407,1407,FR,1,08/02/2016,204,35,30/08/2016,,3.44,490,,
IE221372341407,1407,FR,1,08/02/2016,211,36,06/09/2016,,3.47,530,,
IE221372341407,1407,FR,1,08/02/2016,232,39,27/09/2016,,3.28,444,,
IE221372341407,1407,FR,1,08/02/2016,239,40,04/10/2016,,3.31,493,,
IE221372341407,1407,FR,1,08/02/2016,246,41,11/10/2016,,3.29,527.8,2.75,
IE221372341407,1407,FR,1,08/02/2016,253,42,18/10/2016,,3.34,572,,
IE221372341407,1407,FR,1,08/02/2016,260,43,25/10/2016,,3.31,570,,
IE221372341407,1407,FR,1,08/02/2016,267,44,01/11/2016,,3.46,532,2.75,
IE151941640361,361,FR,1,14/02/2016,58,15,12/04/2016,,3.49,391,2.75,3
IE141893632170,170,FR,2,16/02/2016,28,11,15/03/2016,,3.56,542,,
IE141893632170,170,FR,2,16/02/2016,35,12,22/03/2016,,3.46,571,,
IE141893632170,170,FR,2,16/02/2016,42,13,29/03/2016,,3.35,570,,
IE141893632170,170,FR,2,16/02/2016,49,14,05/04/2016,,3.36,549,,
IE151581581764,1764,FR,4,31/01/2016,58,13,29/03/2016,,3.79,571,,
IE151581581764,1764,FR,4,31/01/2016,65,14,05/04/2016,,3.84,572,,
IE151941640386,386,FR,1,01/02/2016,71,15,12/04/2016,,3.65,460,3,3
IE151581581764,1764,FR,4,31/01/2016,79,16,19/04/2016,,3.82,602,,
IE151581581764,1764,FR,4,31/01/2016,93,18,03/05/2016,,3.9,589,,
IE151941670389,389,FR,1,18/02/2016,54,15,12/04/2016,,3.74,413,3,3
IE151581581764,1764,FR,4,31/01/2016,107,20,17/05/2016,,3.96,604,,
IE151941650404,404,FR,1,11/02/2016,61,15,12/04/2016,,3.47,,3,3
IE151941690416,416,FR,1,06/02/2016,66,15,12/04/2016,,3.58,422,3,3
IE151581581764,1764,FR,4,31/01/2016,205,34,23/08/2016,,3.38,,,
IE151581581764,1764,FR,4,31/01/2016,212,35,30/08/2016,,3.46,561,,
IE151581581764,1764,FR,4,31/01/2016,240,39,27/09/2016,,3.25,628,,
IE151581581764,1764,FR,4,31/01/2016,247,40,04/10/2016,,3.29,,,
IE151581581764,1764,FR,4,31/01/2016,254,41,11/10/2016,,3.2,676.28,3,
IE331097821904,1904,FR,1,05/02/2016,53,13,29/03/2016,,3.95,,,
IE331097821904,1904,FR,1,05/02/2016,60,14,05/04/2016,,3.9,407,,
IE151941620418,418,FR,1,02/03/2016,41,15,12/04/2016,,3.69,,3,3.25
IE331097821904,1904,FR,1,05/02/2016,74,16,19/04/2016,,3.83,411,,
IE331097821904,1904,FR,1,05/02/2016,88,18,03/05/2016,,3.91,436,,
IE361079911424,424,FR,1,19/02/2016,53,15,12/04/2016,,3.46,460,2.75,3
IE331097821904,1904,FR,1,05/02/2016,102,20,17/05/2016,,3.68,,,
IE331097821904,1904,FR,1,05/02/2016,109,21,24/05/2016,,3.85,,,
IE151941640436,436,FR,1,07/02/2016,65,15,12/04/2016,,3.86,413,3,3
IE151941640452,452,FR,1,06/02/2016,66,15,12/04/2016,,3.87,,3,3
IE331097821904,1904,FR,1,05/02/2016,200,34,23/08/2016,,3.77,,,
IE331097821904,1904,FR,1,05/02/2016,207,35,30/08/2016,,3.8,447,,
IE331097821904,1904,FR,1,05/02/2016,214,36,06/09/2016,,3.82,468.5,,
IE331097821904,1904,FR,1,05/02/2016,235,39,27/09/2016,,3.9,470,,
IE331097821904,1904,FR,1,05/02/2016,242,40,04/10/2016,,3.74,,,
IE331097821904,1904,FR,1,05/02/2016,256,42,18/10/2016,,3.74,496,,
IE331097821904,1904,FR,1,05/02/2016,263,43,25/10/2016,,3.81,500,,
IE141582022084,2084,FR,4,13/02/2016,38,12,22/03/2016,,3.09,655,,
IE141582022084,2084,FR,4,13/02/2016,45,13,29/03/2016,,3.28,630,,
IE141582022084,2084,FR,4,13/02/2016,52,14,05/04/2016,,3.24,636,,
IE151828782046,4923,FR,5,19/02/2016,53,15,12/04/2016,,2.3,539,2.5,2.5
IE141582022084,2084,FR,4,13/02/2016,66,16,19/04/2016,,3.2,656,,
IE141582022084,2084,FR,4,13/02/2016,80,18,03/05/2016,,3.38,643,,
IE151941680051,51,FR,2,07/02/2016,65,15,12/04/2016,,3.78,509,3,3
IE141582022084,2084,FR,4,13/02/2016,94,20,17/05/2016,,3.31,663,,
IE141582022084,2084,FR,4,13/02/2016,108,22,31/05/2016,,3.3,,,
IE151941620062,62,FR,2,24/01/2016,79,15,12/04/2016,,2.66,460,2.75,2.5
IE151549256216,6216,FR,4,20/02/2016,52,15,12/04/2016,,2.99,513,2.5,2.5
IE141582022084,2084,FR,4,13/02/2016,192,34,23/08/2016,,3.22,,,
IE141582022084,2084,FR,4,13/02/2016,199,35,30/08/2016,,3.06,625,,
IE141582022084,2084,FR,4,13/02/2016,206,36,06/09/2016,,3.1,652,,
IE141582022084,2084,FR,4,13/02/2016,227,39,27/09/2016,,3.13,575,,
IE141582022084,2084,FR,4,13/02/2016,234,40,04/10/2016,,3.08,,,
IE141582022084,2084,FR,4,13/02/2016,241,41,11/10/2016,,2.98,734.28,2.5,
IE141582022084,2084,FR,4,13/02/2016,248,42,18/10/2016,,3.12,736,,
IE141582022084,2084,FR,4,13/02/2016,255,43,25/10/2016,,3.12,740,,
IE141582052120,2120,FR,4,11/02/2016,40,12,22/03/2016,,3.01,651,,
IE141582052120,2120,FR,4,11/02/2016,47,13,29/03/2016,,2.95,646,,
IE141582052120,2120,FR,4,11/02/2016,54,14,05/04/2016,,3.18,636,,
IE151549266217,6217,FR,4,10/02/2016,62,15,12/04/2016,,3.42,538,3,3
IE141582052120,2120,FR,4,11/02/2016,68,16,19/04/2016,,3.05,640,,
IE141582052120,2120,FR,4,11/02/2016,82,18,03/05/2016,,3,658,,
IE151549256249,6249,FR,4,09/02/2016,63,15,12/04/2016,,3.55,,3.25,3.25
IE141582052120,2120,FR,4,11/02/2016,96,20,17/05/2016,,3.02,651,,
IE141582052120,2120,FR,4,11/02/2016,103,21,24/05/2016,,3.09,,,
IE141582052120,2120,FR,4,11/02/2016,110,22,31/05/2016,,3.09,,,
IE151549296401,6401,FR,4,09/02/2016,63,15,12/04/2016,,2.9,534,2.75,2.5
IE151941660066,66,FR,2,07/02/2016,65,15,12/04/2016,,3.15,471,2.75,2.75
IE141582052120,2120,FR,4,11/02/2016,194,34,23/08/2016,,3.12,,,
IE141582052120,2120,FR,4,11/02/2016,201,35,30/08/2016,,3.06,665,,
IE141582052120,2120,FR,4,11/02/2016,208,36,06/09/2016,,3.08,660.5,,
IE141582052120,2120,FR,4,11/02/2016,229,39,27/09/2016,,3.23,681,,
IE141582052120,2120,FR,4,11/02/2016,236,40,04/10/2016,,3.18,,,
IE141582052120,2120,FR,4,11/02/2016,243,41,11/10/2016,,3.34,721.52,2.75,
IE141582052120,2120,FR,4,11/02/2016,250,42,18/10/2016,,3.24,694,,
IE141582052120,2120,FR,4,11/02/2016,257,43,25/10/2016,,3.2,702,,
IE141582052120,2120,FR,4,11/02/2016,264,44,01/11/2016,,3.31,698,2.75,
IE151941670067,67,FR,2,12/02/2016,60,15,12/04/2016,,3.57,476,2.75,2.75
IE141582052120,2120,FR,4,11/02/2016,278,46,15/11/2016,,3.3,710,,
IE151941640213,213,FR,2,25/02/2016,33,13,29/03/2016,,3.02,523,,
IE151941640213,213,FR,2,25/02/2016,40,14,05/04/2016,,3.22,531.5,,
IE151549266704,6704,FR,4,24/01/2016,79,15,12/04/2016,,3.48,534,3,3
IE151549296723,6723,FR,4,14/02/2016,58,15,12/04/2016,,3.02,501,2.75,2.75
IE151941640213,213,FR,2,25/02/2016,82,20,17/05/2016,,3.1,526,,
IE151549236800,6800,FR,4,05/02/2016,67,15,12/04/2016,,2.95,,3,3
IE151549267009,7009,FR,3,30/01/2016,73,15,12/04/2016,,3.39,428,2.75,2.5
IE151941640213,213,FR,2,25/02/2016,180,34,23/08/2016,,3.02,,,
IE151941640213,213,FR,2,25/02/2016,187,35,30/08/2016,,3.06,532,,
IE151941640213,213,FR,2,25/02/2016,194,36,06/09/2016,,2.98,578,,
IE151941640213,213,FR,2,25/02/2016,215,39,27/09/2016,,2.96,468,,
IE151941640213,213,FR,2,25/02/2016,222,40,04/10/2016,,2.93,,,
IE151941640213,213,FR,2,25/02/2016,236,42,18/10/2016,,3.07,592,,
IE151941640213,213,FR,2,25/02/2016,243,43,25/10/2016,,2.95,597,,
IE151941640213,213,FR,2,25/02/2016,250,44,01/11/2016,,3.11,551,2.75,
IE151549257214,7214,FR,3,27/02/2016,45,15,12/04/2016,,3.09,,2.75,2.75
IE151028192133,2133,FR,4,01/02/2016,43,11,15/03/2016,,3.51,586,,
IE151028192133,2133,FR,4,01/02/2016,50,12,22/03/2016,,3.34,605,,
IE151028192133,2133,FR,4,01/02/2016,57,13,29/03/2016,,3.35,564,,
IE151028192133,2133,FR,4,01/02/2016,64,14,05/04/2016,,3.33,580,,
IE151535330496,8002,FR,4,06/02/2016,66,15,12/04/2016,,3.4,545,3,2.75
IE151028192133,2133,FR,4,01/02/2016,78,16,19/04/2016,,3.63,593,,
IE151028192133,2133,FR,4,01/02/2016,92,18,03/05/2016,,3.72,,,
IE151535370509,8003,FR,4,04/02/2016,68,15,12/04/2016,,3.33,564,2.75,3
IE151028192133,2133,FR,4,01/02/2016,106,20,17/05/2016,,3.64,590,,
IE151028192133,2133,FR,4,01/02/2016,113,21,24/05/2016,,3.53,,,
IE151028192133,2133,FR,4,01/02/2016,120,22,31/05/2016,,3.5,,,
IE131232360860,8022,FR,4,01/02/2016,71,15,12/04/2016,,3.07,511,2.75,2.75
IE141893662157,2157,FR,2,18/02/2016,33,12,22/03/2016,,3.2,501,,
IE141893662157,2157,FR,2,18/02/2016,40,13,29/03/2016,,3.07,516,,
IE141893662157,2157,FR,2,18/02/2016,47,14,05/04/2016,,3.24,505,,
IE211372060869,8025,FR,4,12/02/2016,60,15,12/04/2016,,2.63,556,2.75,2.5
IE141893662157,2157,FR,2,18/02/2016,61,16,19/04/2016,,3.37,484,,
IE141893662157,2157,FR,2,18/02/2016,75,18,03/05/2016,,3.33,,,
IE351158020892,8032,FR,4,13/02/2016,59,15,12/04/2016,,3.38,559,3,3.25
IE141893662157,2157,FR,2,18/02/2016,89,20,17/05/2016,,3.33,509,,
IE141893662157,2157,FR,2,18/02/2016,96,21,24/05/2016,,3.53,,,
IE141893662157,2157,FR,2,18/02/2016,103,22,31/05/2016,,3.38,,,
IE351158070906,8035,FR,4,06/02/2016,66,15,12/04/2016,,3.32,615,3,3
IE351059580910,8036,FR,4,13/02/2016,59,15,12/04/2016,,3.28,592,3,3
IE341255120922,8037,FR,4,24/01/2016,79,15,12/04/2016,,2.38,562,2.5,2.5
IE141893662157,2157,FR,2,18/02/2016,187,34,23/08/2016,,3.37,,,
IE141893662157,2157,FR,2,18/02/2016,194,35,30/08/2016,,3.46,505,,
IE141893662157,2157,FR,2,18/02/2016,201,36,06/09/2016,,3.37,560.5,,
IE141893662157,2157,FR,2,18/02/2016,222,39,27/09/2016,,3.38,463,,
IE141893662157,2157,FR,2,18/02/2016,229,40,04/10/2016,,3.35,,,
IE141893662157,2157,FR,2,18/02/2016,236,41,11/10/2016,,3.43,563.76,2.75,
IE141893662157,2157,FR,2,18/02/2016,243,42,18/10/2016,,3.42,592,,
IE141893662157,2157,FR,2,18/02/2016,250,43,25/10/2016,,3.49,583,,
IE141893662157,2157,FR,2,18/02/2016,257,44,01/11/2016,,3.46,562,2.75,
IE341255120963,8039,FR,4,25/01/2016,78,15,12/04/2016,,2.98,530,2.75,2.75
IE141893661919,219,FR,3,11/02/2016,33,11,15/03/2016,,2.91,524,,
IE141893661919,219,FR,3,11/02/2016,40,12,22/03/2016,,2.95,557,,
IE141893661919,219,FR,3,11/02/2016,47,13,29/03/2016,,3.05,556,,
IE141893661919,219,FR,3,11/02/2016,68,16,19/04/2016,,3.14,574,,
IE151101941227,8055,FR,4,13/02/2016,59,15,12/04/2016,,2.83,560,3,3
IE141893661919,219,FR,3,11/02/2016,103,21,24/05/2016,,3.42,,,
IE141893661919,219,FR,3,11/02/2016,110,22,31/05/2016,,3.54,,,
